"Id","SalePrice"
1461,116391.55540954
1462,173217.316414298
1463,171769.452529447
1464,198137.34563549
1465,217441.380457081
1466,175855.950761314
1467,200921.254012777
1468,170819.53748938
1469,221409.591096029
1470,118203.266855814
1471,230356.94182106
1472,154294.321681037
1473,120815.122437628
1474,172083.28647147
1475,152760.408192583
1476,302481.549468714
1477,262023.431739406
1478,326524.847452516
1479,280166.872509916
1480,407552.666565425
1481,291266.184051104
1482,249620.476307839
1483,181087.405242102
1484,194863.89076559
1485,201536.256389888
1486,205431.901876313
1487,269651.29589437
1488,275942.216826798
1489,197778.254481053
1490,209536.378330462
1491,200137.005798151
1492,101911.158624484
1493,224916.258438285
1494,277879.9339194
1495,283142.241528852
1496,235933.958751182
1497,182835.532913493
1498,186859.530653964
1499,182334.317383273
1500,167445.816696262
1501,214798.71967972
1502,178168.09006082
1503,285629.587937752
1504,242811.362822359
1505,234935.318636075
1506,181861.152211826
1507,205598.725467333
1508,189264.022345432
1509,150362.620155681
1510,147648.980426243
1511,144229.007189242
1512,163029.471017429
1513,139704.765557128
1514,150979.012191793
1515,190808.697344098
1516,177677.847843752
1517,198706.857316368
1518,135455.466975927
1519,252300.116327646
1520,125654.699469074
1521,127323.533486273
1522,209572.879201414
1523,73827.412021766
1524,104613.140306879
1525,112424.780816391
1526,114390.982421508
1527,100636.071391166
1528,165951.148284701
1529,132872.614167113
1530,224910.853887062
1531,134210.187125278
1532,101877.341144911
1533,129745.17607701
1534,141055.344238931
1535,151484.505551308
1536,107642.765423015
1537,57104.0079159585
1538,198970.638132183
1539,200390.727663691
1540,80035.0572151425
1541,160388.943482436
1542,128233.569950971
1543,194773.476946776
1544,75217.7530805817
1545,121269.820955818
1546,161358.081892308
1547,140503.456132919
1548,131500.758856285
1549,133426.359872653
1550,133546.642467607
1551,152810.405347103
1552,108884.305255591
1553,144279.011607507
1554,131744.892802275
1555,159308.141283751
1556,95056.4163246222
1557,102936.864761867
1558,119939.346766649
1559,51040.0572253915
1560,137956.638568195
1561,97942.3184466166
1562,126156.449896133
1563,123638.510017184
1564,179627.14431194
1565,158136.084878845
1566,267000.750937769
1567,88496.9308225119
1568,221761.118605438
1569,90314.3335917156
1570,150065.731788388
1571,98113.5065187841
1572,146965.604772777
1573,259558.574348606
1574,130690.380181048
1575,249431.271095099
1576,242698.825496695
1577,200601.556933419
1578,157426.491934433
1579,150154.426991396
1580,203490.426500424
1581,142969.52707423
1582,129647.348506902
1583,313412.399963898
1584,214609.901157223
1585,180774.372992697
1586,51654.537295002
1587,90952.8705744343
1588,137802.126503296
1589,89105.1478558636
1590,154729.954197711
1591,58840.4395223638
1592,144646.969779677
1593,155466.656722325
1594,42071.5644879675
1595,94952.2405134921
1596,227687.841646081
1597,165656.898974724
1598,193576.251429157
1599,234133.4536568
1600,228360.694515069
1601,19731.9474315543
1602,132328.15050526
1603,69938.7499739083
1604,270927.528728441
1605,254854.96758778
1606,196894.167905119
1607,177464.662330106
1608,239598.866022688
1609,198122.827187033
1610,132211.786820519
1611,148782.67518459
1612,150682.701458587
1613,173468.129500759
1614,136534.6195481
1615,61227.2433963067
1616,51378.3593243694
1617,73403.2597096654
1618,124827.065894283
1619,150530.51034213
1620,144149.23710231
1621,134678.723062405
1622,124289.282614388
1623,277138.00476537
1624,199743.874015255
1625,136435.097655213
1626,211860.999685908
1627,196540.698405531
1628,272879.108172336
1629,193975.762965003
1630,288423.101162612
1631,232251.841492702
1632,236616.035436653
1633,200004.714029525
1634,180690.529646171
1635,176339.869178713
1636,178632.828013456
1637,159789.859563756
1638,211775.00705307
1639,201238.312699196
1640,227577.756313255
1641,198721.959050372
1642,208580.288262549
1643,227636.726173457
1644,238677.358651649
1645,194226.443986808
1646,190859.194395763
1647,207275.645029994
1648,129143.254427351
1649,125151.226553201
1650,114573.265654703
1651,123731.627951704
1652,145823.491486056
1653,139709.288693415
1654,166019.420394098
1655,193905.910403459
1656,164541.593145425
1657,167074.900484335
1658,169137.96514408
1659,166221.225803389
1660,168085.496537314
1661,377591.516752055
1662,297127.022035793
1663,343091.788408793
1664,417434.067886821
1665,317287.213206543
1666,318466.2054139
1667,294046.48973277
1668,323737.932198061
1669,311424.771031735
1670,329851.618443417
1671,266481.323730978
1672,368320.380309213
1673,263970.854589995
1674,287225.812306538
1675,215308.670467726
1676,207679.56778691
1677,241577.730425743
1678,406293.922437329
1679,328393.741720541
1680,308584.136476076
1681,294534.208451284
1682,304389.51519738
1683,221341.948122913
1684,203259.554500258
1685,174913.913591746
1686,209736.559433521
1687,194619.329600129
1688,214361.234893884
1689,212584.318063843
1690,207280.575440491
1691,206552.845738979
1692,0
1693,180726.121127606
1694,181171.509448314
1695,187457.705673311
1696,261573.869872928
1697,187118.912777153
1698,303040.215158654
1699,319214.088272602
1700,237991.677196657
1701,263170.307685223
1702,267182.066809518
1703,281280.31891941
1704,293374.155954406
1705,265288.766388492
1706,360272.284799438
1707,0
1708,208500.260828688
1709,300811.618552269
1710,248529.18076269
1711,267258.812158231
1712,262008.573823449
1713,263589.226900532
1714,220343.74492823
1715,190842.822913418
1716,196832.450373865
1717,200971.36230712
1718,133231.460632526
1719,193604.428831556
1720,272443.789469958
1721,205875.644010749
1722,111187.971457535
1723,156564.269199717
1724,224827.697006329
1725,215557.926675062
1726,155998.528397024
1727,165796.887162264
1728,186866.682478158
1729,162836.159263888
1730,159574.965442122
1731,123818.874261545
1732,128090.911729346
1733,120272.775981398
1734,121698.1403061
1735,124930.698356945
1736,107068.926305089
1737,323434.460022539
1738,243716.902803015
1739,224845.68265422
1740,205301.508420824
1741,204765.749272083
1742,184940.784444897
1743,195525.464348616
1744,307559.16001931
1745,212355.024800087
1746,213730.814525893
1747,220853.781640647
1748,187073.740933707
1749,171263.312720922
1750,160954.913962284
1751,244935.597779213
1752,112219.179012258
1753,143909.633338468
1754,216735.598209545
1755,212610.190795778
1756,116549.026688158
1757,106292.822505724
1758,145265.562378308
1759,149709.508437525
1760,177741.685802366
1761,177912.264669325
1762,136856.547087059
1763,182408.636959596
1764,103792.850533608
1765,181709.820595978
1766,189966.278351847
1767,238629.722852433
1768,136118.219641769
